Test Feature A,Test Feature B,R-Value,P-Value
G.Wrst,Over,[0.64527017],[1.88512405e-33]
G.Wrst,Wide,[0.71121555],[2.89992205e-43]
G.Wrst,S.Bkhd,[0.50187367],[9.08843436e-19]
G.Wrst,S.Dflct,[0.30811464],[2.15644097e-07]
G.Wrst,S.Slap,[0.51743996],[4.86976426e-20]
G.Wrst,S.Snap,[0.54365399],[2.47558764e-22]
G.Wrst,S.Tip,[0.34886301],[3.32613394e-09]
G.Wrst,S.Wrst,[0.748681],[3.5442723e-50]
Post,Wt,[0.05886016],[0.33348349]
Post,GP,[0.51445833],[8.63029197e-20]
Post,G,[0.65484503],[1.00692571e-34]
Post,A,[0.61096025],[3.03523745e-29]
Post,A1,[0.58150256],[5.0673744e-26]
Post,A2,[0.58329197],[3.29849869e-26]
Post,PTS,[0.64969494],[4.93244029e-34]
Post,PIM,[0.3149724],[1.11491642e-07]
Post,Shifts,[0.54743566],[1.11156055e-22]
Post,TOI,[0.58836631],[9.62120644e-27]
Post,TOI/GP,[0.54258757],[3.09705144e-22]
Post,iBLK,[0.45987947],[1.20410542e-15]
Post,OTG,[0.23106202],[0.00012026]
Post,GWG,[0.5157184],[6.7810486e-20]
Post,G.Dflct,[0.23059006],[0.00012428]
Post,G.Slap,[0.46772394],[3.38498234e-16]
Post,G.Snap,[0.41146449],[1.5315439e-12]
Post,G.Tip,[0.20872398],[0.00053043]
Post,G.Wrst,[0.55919552],[8.62787889e-24]
Post,Post,[1.],[0.]
Post,Over,[0.56324162],[3.49697261e-24]
Post,Wide,[0.64899088],[6.11451713e-34]
Post,S.Bkhd,[0.45108909],[4.80443299e-15]
Post,S.Dflct,[0.3855759],[4.48297546e-11]
Post,S.Slap,[0.60007055],[5.15724899e-28]
Post,S.Snap,[0.53549756],[1.34560435e-21]
Post,S.Tip,[0.26609674],[8.62120899e-06]
Post,S.Wrst,[0.65736336],[4.57746854e-35]
Over,Wt,[0.04735464],[0.43666523]
Over,GP,[0.61240927],[2.0648288e-29]
Over,G,[0.69810666],[4.22873459e-41]
Over,A,[0.68013067],[2.56663094e-38]
Over,A1,[0.68567759],[3.7330679e-39]
Over,A2,[0.61238289],[2.07940042e-29]
Over,PTS,[0.7150061],[6.5156735e-44]
Over,PIM,[0.38148678],[7.44256773e-11]
Over,Shifts,[0.63800425],[1.62507736e-32]
Over,TOI,[0.66313465],[7.3022651e-36]
Over,TOI/GP,[0.59129303],[4.68059892e-27]
Over,iBLK,[0.56749637],[1.33478304e-24]
Over,OTG,[0.3054624],[2.77078448e-07]
Over,GWG,[0.54325883],[2.69005824e-22]
Over,G.Dflct,[0.18681708],[0.00197296]
Over,G.Slap,[0.5156513],[6.8688623e-20]
Over,G.Snap,[0.40165962],[5.69556907e-12]
Over,G.Tip,[0.14602193],[0.01594586]
Over,G.Wrst,[0.64527017],[1.88512405e-33]
Over,Post,[0.56324162],[3.49697261e-24]
Over,Over,[1.],[0.]
Over,Wide,[0.77262063],[2.83999497e-55]
Over,S.Bkhd,[0.52945757],[4.57779516e-21]
Over,S.Dflct,[0.29155702],[9.90772789e-07]
Over,S.Slap,[0.67079944],[5.98298178e-37]
Over,S.Snap,[0.61937278],[3.15250042e-30]
Over,S.Tip,[0.31615146],[9.93692128e-08]
Over,S.Wrst,[0.71879324],[1.43037629e-44]
Wide,Wt,[0.07972906],[0.189868]
Wide,GP,[0.79378148],[2.50536023e-60]
Wide,G,[0.81401056],[9.53466256e-66]
Wide,A,[0.84276687],[1.03830219e-74]
Wide,A1,[0.83590729],[2.04527726e-72]
Wide,A2,[0.77185463],[4.22633611e-55]
Wide,PTS,[0.87174208],[8.79723332e-86]
Wide,PIM,[0.45209738],[4.10755338e-15]
Wide,Shifts,[0.83162352],[4.9031883e-71]
Wide,TOI,[0.85842399],[2.18498258e-80]
Wide,TOI/GP,[0.75055098],[1.48752124e-50]
Wide,iBLK,[0.7357509],[1.17054973e-47]
Wide,OTG,[0.42382497],[2.74808567e-13]
Wide,GWG,[0.6564996],[6.00378318e-35]
Wide,G.Dflct,[0.18061866],[0.00279116]
Wide,G.Slap,[0.59534216],[1.70636979e-27]
Wide,G.Snap,[0.54319901],[2.72408202e-22]
Wide,G.Tip,[0.30838914],[2.10091767e-07]
Wide,G.Wrst,[0.71121555],[2.89992205e-43]
Wide,Post,[0.64899088],[6.11451713e-34]
Wide,Over,[0.77262063],[2.83999497e-55]
Wide,Wide,[1.],[0.]
Wide,S.Bkhd,[0.56537552],[2.16104915e-24]
Wide,S.Dflct,[0.3566092],[1.40216824e-09]
Wide,S.Slap,[0.81784377],[7.53989994e-67]
Wide,S.Snap,[0.74928255],[2.68283633e-50]
Wide,S.Tip,[0.42945445],[1.2273696e-13]
Wide,S.Wrst,[0.85059139],[1.82279879e-77]
S.Bkhd,Wt,[0.06396047],[0.29321758]
S.Bkhd,GP,[0.52794261],[6.19959819e-21]
S.Bkhd,G,[0.61695986],[6.07849085e-30]
S.Bkhd,A,[0.60084341],[4.23308807e-28]
S.Bkhd,A1,[0.57366206],[3.22414267e-25]
S.Bkhd,A2,[0.57272302],[4.01073086e-25]
S.Bkhd,PTS,[0.63182718],[9.69786274e-32]
S.Bkhd,PIM,[0.27588155],[3.85045087e-06]
S.Bkhd,Shifts,[0.55767424],[1.20777895e-23]
S.Bkhd,TOI,[0.59125732],[4.72213658e-27]
S.Bkhd,TOI/GP,[0.54120097],[4.13910554e-22]
S.Bkhd,iBLK,[0.47689076],[7.36834147e-17]
S.Bkhd,OTG,[0.29009254],[1.12868797e-06]
S.Bkhd,GWG,[0.43043703],[1.06465029e-13]
S.Bkhd,G.Dflct,[0.14453314],[0.01706447]
S.Bkhd,G.Slap,[0.44764508],[8.17376065e-15]
S.Bkhd,G.Snap,[0.39413042],[1.51715937e-11]
S.Bkhd,G.Tip,[0.20682159],[0.00059779]
S.Bkhd,G.Wrst,[0.50187367],[9.08843436e-19]
S.Bkhd,Post,[0.45108909],[4.80443299e-15]
S.Bkhd,Over,[0.52945757],[4.57779516e-21]
S.Bkhd,Wide,[0.56537552],[2.16104915e-24]
S.Bkhd,S.Bkhd,[1.],[0.]
S.Bkhd,S.Dflct,[0.33295473],[1.82393713e-08]
S.Bkhd,S.Slap,[0.5325059],[2.47528721e-21]
S.Bkhd,S.Snap,[0.40900586],[2.13756495e-12]
S.Bkhd,S.Tip,[0.33913371],[9.52547289e-09]
S.Bkhd,S.Wrst,[0.60654965],[9.68681959e-29]
S.Dflct,Wt,[-0.0001664],[0.99782039]
S.Dflct,GP,[0.26152075],[1.24346953e-05]
S.Dflct,G,[0.38972124],[2.66226402e-11]
S.Dflct,A,[0.34148044],[7.41486542e-09]
S.Dflct,A1,[0.32549385],[3.92143226e-08]
S.Dflct,A2,[0.32527943],[4.00744187e-08]
S.Dflct,PTS,[0.36955648],[3.13907606e-10]
S.Dflct,PIM,[0.07976537],[0.18966574]
S.Dflct,Shifts,[0.30059314],[4.36198894e-07]
S.Dflct,TOI,[0.34138074],[7.4945105e-09]
S.Dflct,TOI/GP,[0.3770361],[1.28201848e-10]
S.Dflct,iBLK,[0.29532951],[7.05844236e-07]
S.Dflct,OTG,[0.20064547],[0.00087493]
S.Dflct,GWG,[0.32228416],[5.41661299e-08]
S.Dflct,G.Dflct,[0.59629626],[1.34248391e-27]
S.Dflct,G.Slap,[0.30608585],[2.61281676e-07]
S.Dflct,G.Snap,[0.1802174],[0.00285349]
S.Dflct,G.Tip,[0.03342997],[0.58303425]
S.Dflct,G.Wrst,[0.30811464],[2.15644097e-07]
S.Dflct,Post,[0.3855759],[4.48297546e-11]
S.Dflct,Over,[0.29155702],[9.90772789e-07]
S.Dflct,Wide,[0.3566092],[1.40216824e-09]
S.Dflct,S.Bkhd,[0.33295473],[1.82393713e-08]
S.Dflct,S.Dflct,[1.],[nan]
S.Dflct,S.Slap,[0.36220562],[7.40297019e-10]
S.Dflct,S.Snap,[0.23864775],[7.02117079e-05]
S.Dflct,S.Tip,[0.04963867],[0.41484384]
S.Dflct,S.Wrst,[0.33210847],[1.99143584e-08]
S.Slap,Wt,[0.07823816],[0.19831091]
S.Slap,GP,[0.71801029],[1.96100233e-44]
S.Slap,G,[0.71896024],[1.33709527e-44]
S.Slap,A,[0.80054203],[4.54361766e-62]
S.Slap,A1,[0.7764006],[3.90254911e-56]
S.Slap,A2,[0.75055079],[1.48765308e-50]
S.Slap,PTS,[0.81314349],[1.67889811e-65]
S.Slap,PIM,[0.41032309],[1.78852297e-12]
S.Slap,Shifts,[0.75818394],[3.96147964e-52]
S.Slap,TOI,[0.79259111],[4.99749087e-60]
S.Slap,TOI/GP,[0.72010843],[8.39883321e-45]
S.Slap,iBLK,[0.65862659],[3.07357598e-35]
S.Slap,OTG,[0.25354033],[2.31775257e-05]
S.Slap,GWG,[0.55568278],[1.8710773e-23]
S.Slap,G.Dflct,[0.13019722],[0.03182798]
S.Slap,G.Slap,[0.73435571],[2.14448669e-47]
S.Slap,G.Snap,[0.36462372],[5.59598828e-10]
S.Slap,G.Tip,[0.24861398],[3.36996938e-05]
S.Slap,G.Wrst,[0.51743996],[4.86976426e-20]
S.Slap,Post,[0.60007055],[5.15724899e-28]
S.Slap,Over,[0.67079944],[5.98298178e-37]
S.Slap,Wide,[0.81784377],[7.53989994e-67]
S.Slap,S.Bkhd,[0.5325059],[2.47528721e-21]
S.Slap,S.Dflct,[0.36220562],[7.40297019e-10]
S.Slap,S.Slap,[1.],[0.]
S.Slap,S.Snap,[0.55729467],[1.31316585e-23]
S.Slap,S.Tip,[0.38990991],[2.59940915e-11]
S.Slap,S.Wrst,[0.67235963],[3.56243164e-37]
S.Snap,Wt,[0.07723102],[0.20416684]
S.Snap,GP,[0.59152124],[4.4235119e-27]
S.Snap,G,[0.65534047],[8.62781811e-35]
S.Snap,A,[0.61598941],[7.90279301e-30]
S.Snap,A1,[0.61632762],[7.21275309e-30]
S.Snap,A2,[0.55945713],[8.14152929e-24]
S.Snap,PTS,[0.65402814],[1.29823548e-34]
S.Snap,PIM,[0.293322],[8.45937939e-07]
S.Snap,Shifts,[0.61467955],[1.12461942e-29]
S.Snap,TOI,[0.62227832],[1.41905269e-30]
S.Snap,TOI/GP,[0.51663685],[5.68443019e-20]
S.Snap,iBLK,[0.50579036],[4.41359766e-19]
S.Snap,OTG,[0.34998697],[2.93857109e-09]
S.Snap,GWG,[0.45001791],[5.67153683e-15]
S.Snap,G.Dflct,[0.0864202],[0.15520352]
S.Snap,G.Slap,[0.40313358],[4.68786999e-12]
S.Snap,G.Snap,[0.65440149],[1.15600469e-34]
S.Snap,G.Tip,[0.21023253],[0.00048208]
S.Snap,G.Wrst,[0.54365399],[2.47558764e-22]
S.Snap,Post,[0.53549756],[1.34560435e-21]
S.Snap,Over,[0.61937278],[3.15250042e-30]
S.Snap,Wide,[0.74928255],[2.68283633e-50]
S.Snap,S.Bkhd,[0.40900586],[2.13756495e-12]
S.Snap,S.Dflct,[0.23864775],[7.02117079e-05]
S.Snap,S.Slap,[0.55729467],[1.31316585e-23]
S.Snap,S.Snap,[1.],[0.]
S.Snap,S.Tip,[0.31204754],[1.48020236e-07]
S.Snap,S.Wrst,[0.61312532],[1.70563974e-29]
S.Tip,Wt,[-0.07908781],[0.19346651]
S.Tip,GP,[0.41422829],[1.04941585e-12]
S.Tip,G,[0.39475768],[1.39956279e-11]
S.Tip,A,[0.47159385],[1.78823473e-16]
S.Tip,A1,[0.46096671],[1.01186594e-15]
S.Tip,A2,[0.43797032],[3.52316388e-14]
S.Tip,PTS,[0.47082233],[2.03214632e-16]
S.Tip,PIM,[0.23879167],[6.94866011e-05]
S.Tip,Shifts,[0.42301222],[3.08342429e-13]
S.Tip,TOI,[0.44198146],[1.93334966e-14]
S.Tip,TOI/GP,[0.38285585],[6.28568379e-11]
S.Tip,iBLK,[0.36502348],[5.34180265e-10]
S.Tip,OTG,[0.18913133],[0.00172847]
S.Tip,GWG,[0.29754381],[5.77142204e-07]
S.Tip,G.Dflct,[0.00730919],[0.90448855]
S.Tip,G.Slap,[0.22999448],[0.00012954]
S.Tip,G.Snap,[0.23858635],[7.0523166e-05]
S.Tip,G.Tip,[0.61604764],[7.77952566e-30]
S.Tip,G.Wrst,[0.34886301],[3.32613394e-09]
S.Tip,Post,[0.26609674],[8.62120899e-06]
S.Tip,Over,[0.31615146],[9.93692128e-08]
S.Tip,Wide,[0.42945445],[1.2273696e-13]
S.Tip,S.Bkhd,[0.33913371],[9.52547289e-09]
S.Tip,S.Dflct,[0.04963867],[0.41484384]
S.Tip,S.Slap,[0.38990991],[2.59940915e-11]
S.Tip,S.Snap,[0.31204754],[1.48020236e-07]
S.Tip,S.Tip,[1.],[nan]
S.Tip,S.Wrst,[0.43697855],[4.0817321e-14]
S.Wrst,Wt,[0.06536862],[0.28269754]
S.Wrst,GP,[0.75871704],[3.05982836e-52]
S.Wrst,G,[0.7734182],[1.87428596e-55]
S.Wrst,A,[0.7999228],[6.60221883e-62]
S.Wrst,A1,[0.78405889],[6.19506314e-58]
S.Wrst,A2,[0.74182148],[8.02800524e-49]
S.Wrst,PTS,[0.82765633],[8.58900772e-70]
S.Wrst,PIM,[0.45315186],[3.48469992e-15]
S.Wrst,Shifts,[0.79316763],[3.57897255e-60]
S.Wrst,TOI,[0.81871767],[4.19277386e-67]
S.Wrst,TOI/GP,[0.71960125],[1.03168188e-44]
S.Wrst,iBLK,[0.68975713],[8.79480826e-40]
S.Wrst,OTG,[0.40217036],[5.32454747e-12]
S.Wrst,GWG,[0.65469697],[1.05444661e-34]
S.Wrst,G.Dflct,[0.20167708],[0.00082163]
S.Wrst,G.Slap,[0.47373646],[1.25161852e-16]
S.Wrst,G.Snap,[0.47735957],[6.8071866e-17]
S.Wrst,G.Tip,[0.31643011],[9.66953956e-08]
S.Wrst,G.Wrst,[0.748681],[3.5442723e-50]
S.Wrst,Post,[0.65736336],[4.57746854e-35]
S.Wrst,Over,[0.71879324],[1.43037629e-44]
S.Wrst,Wide,[0.85059139],[1.82279879e-77]
S.Wrst,S.Bkhd,[0.60654965],[9.68681959e-29]
S.Wrst,S.Dflct,[0.33210847],[1.99143584e-08]
S.Wrst,S.Slap,[0.67235963],[3.56243164e-37]
S.Wrst,S.Snap,[0.61312532],[1.70563974e-29]
S.Wrst,S.Tip,[0.43697855],[4.0817321e-14]
S.Wrst,S.Wrst,[1.],[0.]
