Test Feature A,Test Feature B,R-Value,P-Value
G,S.Dflct,[0.53496965],[3.22822413e-18]
G,S.Slap,[0.62984175],[1.6192931e-26]
G,S.Tip,[0.72051232],[1.11337891e-37]
G,S.Wrap,[0.43165036],[1.00851355e-11]
G,S.Wrst,[0.86685611],[4.29871552e-70]
A,Ht,[0.19542962],[0.00310757]
A,Wt,[0.16794403],[0.01126139]
A,GP,[0.7201917],[1.24123151e-37]
A,G,[0.81953121],[2.01905407e-56]
A,A,[1.],[0.]
A,A1,[0.96734354],[1.69571187e-136]
A,A2,[0.93819478],[6.38602613e-106]
A,PTS,[0.97232903],[1.67370543e-144]
A,+/-,[0.21850379],[0.0009189]
A,Shifts,[0.82161186],[6.19163583e-57]
A,TOI,[0.86610277],[7.77161429e-70]
A,TOIX,[0.86578837],[9.93977421e-70]
A,TOI/GP,[0.85844157],[2.63097261e-67]
A,TOI%,[0.85002693],[1.07715838e-64]
A,iBLK,[0.55539376],[8.76004814e-20]
A,iFOW,[0.75896297],[7.2096091e-44]
A,iFOL,[0.78833479],[1.9370767e-49]
A,FO%,[0.26579041],[4.99292969e-05]
A,OTG,[0.45557746],[4.88026447e-13]
A,GWG,[0.67978549],[3.62507429e-32]
A,G.Bkhd,[0.4602492],[2.62682776e-13]
A,G.Snap,[0.64116874],[1.0460873e-27]
A,G.Tip,[0.47617615],[2.95730524e-14]
A,G.Wrap,[0.19626463],[0.00298015]
A,G.Wrst,[0.76580471],[4.30243449e-45]
A,Post,[0.64291801],[6.7819275e-28]
A,Over,[0.67443743],[1.64998716e-31]
A,Wide,[0.78829987],[1.96920606e-49]
A,S.Bkhd,[0.66638381],[1.52363316e-30]
A,S.Dflct,[0.44636915],[1.60999662e-12]
A,S.Slap,[0.61889768],[2.05631422e-25]
A,S.Tip,[0.62401333],[6.34728292e-26]
A,S.Wrap,[0.33407273],[2.53561185e-07]
A,S.Wrst,[0.80842246],[8.67045819e-54]
A1,Ht,[0.17892931],[0.00687343]
A1,Wt,[0.16158506],[0.01480133]
A1,GP,[0.69604469],[2.94769264e-34]
A1,G,[0.81167761],[1.53003025e-54]
A1,A,[0.96734354],[1.69571187e-136]
A1,A1,[1.],[0.]
A1,A2,[0.81991303],[1.62720543e-56]
A1,PTS,[0.94833525],[1.84483886e-114]
A1,+/-,[0.2396226],[0.00026862]
A1,Shifts,[0.79614296],[4.51676745e-51]
A1,TOI,[0.83943545],[1.26160787e-61]
A1,TOIX,[0.83924657],[1.42432099e-61]
A1,TOI/GP,[0.83725638],[5.0653684e-61]
A1,TOI%,[0.82807366],[1.42518756e-58]
A1,iBLK,[0.56991088],[5.77987982e-21]
A1,iFOW,[0.7256147],[1.93350368e-38]
A1,iFOL,[0.75686361],[1.68026755e-43]
A1,FO%,[0.25209619],[0.00012317]
A1,OTG,[0.41763575],[5.33912954e-11]
A1,GWG,[0.67609876],[1.03398825e-31]
A1,G.Bkhd,[0.47745882],[2.46798288e-14]
A1,G.Snap,[0.61632797],[3.68132619e-25]
A1,G.Tip,[0.48989047],[4.10891163e-15]
A1,G.Wrap,[0.20386182],[0.0020207]
A1,G.Wrst,[0.75807016],[1.03429817e-43]
A1,Post,[0.62159885],[1.10842815e-25]
A1,Over,[0.64856756],[1.64070156e-28]
A1,Wide,[0.77530461],[7.29009891e-47]
A1,S.Bkhd,[0.6637487],[3.10632534e-30]
A1,S.Dflct,[0.43073806],[1.12672743e-11]
A1,S.Slap,[0.59824151],[1.91513983e-23]
A1,S.Tip,[0.62219522],[9.66273856e-26]
A1,S.Wrap,[0.33902725],[1.63784187e-07]
A1,S.Wrst,[0.79236767],[2.83680655e-50]
A2,Ht,[0.19679078],[0.00290231]
A2,Wt,[0.15823097],[0.01703475]
A2,GP,[0.67678157],[8.5253198e-32]
A2,G,[0.74326219],[3.30067449e-41]
A2,A,[0.93819478],[6.38602613e-106]
A2,A1,[0.81991303],[1.62720543e-56]
A2,A2,[1.],[0.]
A2,PTS,[0.9017222],[4.33549495e-84]
A2,+/-,[0.16665544],[0.01191147]
A2,Shifts,[0.76916188],[1.04133644e-45]
A2,TOI,[0.81062804],[2.68655933e-54]
A2,TOIX,[0.81018178],[3.4094923e-54]
A2,TOI/GP,[0.79660045],[3.6056164e-51]
A2,TOI%,[0.79024488],[7.83938049e-50]
A2,iBLK,[0.4765569],[2.80292941e-14]
A2,iFOW,[0.72448386],[2.85973592e-38]
A2,iFOL,[0.74791271],[5.63754813e-42]
A2,FO%,[0.25674503],[9.11583187e-05]
A2,OTG,[0.45909233],[3.06499286e-13]
A2,GWG,[0.6130088],[7.74925039e-25]
A2,G.Bkhd,[0.3887788],[1.30664121e-09]
A2,G.Snap,[0.60567486],[3.89153718e-24]
A2,G.Tip,[0.40731673],[1.73546438e-10]
A2,G.Wrap,[0.16466401],[0.01298119]
A2,G.Wrst,[0.69554828],[3.43047097e-34]
A2,Post,[0.60321038],[6.63108553e-24]
A2,Over,[0.63752156],[2.5591e-27]
A2,Wide,[0.72197784],[6.76099164e-38]
A2,S.Bkhd,[0.5994018],[1.49747228e-23]
A2,S.Dflct,[0.41908915],[4.50766725e-11]
A2,S.Slap,[0.58133294],[6.18293635e-22]
A2,S.Tip,[0.56020902],[3.60838181e-20]
A2,S.Wrap,[0.2932581],[7.00212307e-06]
A2,S.Wrst,[0.74513246],[1.62909117e-41]
PTS,Ht,[0.19586036],[0.00304123]
PTS,Wt,[0.15677289],[0.01809385]
PTS,GP,[0.75240867],[9.83795439e-43]
PTS,G,[0.93071251],[1.67481357e-100]
PTS,A,[0.97232903],[1.67370543e-144]
PTS,A1,[0.94833525],[1.84483886e-114]
PTS,A2,[0.9017222],[4.33549495e-84]
PTS,PTS,[1.],[0.]
PTS,+/-,[0.21543604],[0.00108856]
PTS,Shifts,[0.85127845],[4.50865026e-65]
PTS,TOI,[0.89393316],[1.51130842e-80]
PTS,TOIX,[0.89364986],[2.00881936e-80]
